frame,sim_time_T0,n_aggregates,agg_id,n_particles,mass_Mearth,cx_AU,cy_AU,cz_AU,vx,vy,vz,dist_center_AU,r_cyl
49999,5000.0,1332,6,46,46.0,52.820098876953125,0.05654260143637657,4.150030136108398,-0.0019845999777317047,7.856709999032319e-05,0.13696399331092834,52.9828987121582,52.982880211458045
49999,5000.0,1332,16,46,46.0,43.654300689697266,0.2215300053358078,-28.8218994140625,0.09246429800987244,-0.00023747399973217398,0.10211600363254547,52.31100082397461,52.310609387970615
49999,5000.0,1332,48,46,46.0,52.202999114990234,0.1270820051431656,12.702500343322754,-0.030026499181985855,2.0439700165297836e-05,0.130839005112648,53.72629928588867,53.72621921903482
49999,5000.0,1332,385,46,46.0,51.31420135498047,0.07697589695453644,12.15429973602295,-0.026265500113368034,-1.0290899865594838e-07,0.13491900265216827,52.734100341796875,52.733995323439764
49999,5000.0,1332,137,44,44.0,-48.141998291015625,0.05008630082011223,20.045499801635742,-0.05793739855289459,-8.649229857837781e-05,-0.1267859935760498,52.14860153198242,52.148576795052904
49999,5000.0,1332,62,42,42.0,-45.56650161743164,-0.24488499760627747,-26.117599487304688,0.05180339887738228,-0.0002319269988220185,-0.1276710033416748,52.521400451660156,52.520806092734894
49999,5000.0,1332,103,41,41.0,19.440000534057617,0.04225200042128563,-48.430198669433594,0.13404400646686554,-0.00032638199627399445,0.03135640174150467,52.18619918823242,52.18618364974553
49999,5000.0,1332,301,40,40.0,-45.426998138427734,0.10279300063848495,24.19700050354004,-0.06760340183973312,-0.000727693026419729,-0.12187899649143219,51.469600677490234,51.469476325653766
49999,5000.0,1332,136,38,38.0,-42.92850112915039,-0.18731999397277832,-29.217599868774414,0.06101369857788086,5.368349775380921e-06,-0.12428800016641617,51.92839813232422,51.92806901173269
49999,5000.0,1332,192,38,38.0,-41.332000732421875,-0.057953398674726486,29.535999298095703,-0.08418899774551392,0.0008388300193473697,-0.11283200234174728,50.80080032348633,50.80068443517304
49999,5000.0,1332,64,37,37.0,55.321800231933594,0.050039101392030716,-6.576129913330078,0.03291640058159828,0.0002775650063995272,0.12897400557994843,55.711299896240234,55.71128310799315
49999,5000.0,1332,9,37,37.0,44.66600036621094,-0.004586109891533852,-34.572898864746094,0.09416010230779648,-0.0003958909946959466,0.09349189698696136,56.48310089111328,56.48306759221136
